Title: Project Name,Blog Slug,Collections,Events,Funder(s),Initial Review of Data Complete,Notes/Comments re This Page Content (REVIEW ),Output: Project URL,Outputs,Outputs: Other,Project,Project Description (Internal Use),Project Description (Public),Project Partners,Project Status,Project Tag(s),Project Team,Related Blog,Resource,SBD www Status,SOW Project Dates,Slug (for SBD www),Team Directory,Topics,Who to Check Data
WEPN (Contact: Amir),,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,,,,,WEPN (https://www.notion.so/WEPN-864b8218208a42aeb29bfd1384202079?pvs=21),Contact: Amir http://www.we-pn.com/,,,cancelled / OBE,,"georgia-bullen,eileen-wagner",,,Do Not Publish,,,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21)",,
ADOPTABLE,,,,"https://www.notion.so/80a20306efaf4dee9cbb4902781c2aba, https://www.notion.so/89a8e59cb02e4722aefc60127a11ed1a",No,"@Katie Wilson do you have the info to update the key outputs information?:

Resource #1: https://www.notion.so/50fa264f21a344e88e33d7ddecb889fd?pvs=21
Resource #1: Poster
Resource #2: https://github.com/simplysecure/a-devs-guide-to-user-testing & https://simplysecure.github.io/a-devs-guide-to-user-testing/
Resource #3: Pending
Resource #4: Podcast link
Resource #5: Pending
https://usable.tools/",,Adoptable (https://www.notion.so/Adoptable-2e1c2f7edef042919f0b06c5cae3087a?pvs=21),"https://drive.google.com/drive/u/1/folders/1wbSHjEhZVqzWMVkxZT_qTSP3RSuJkgxD,https://github.com/sprblm/a-devs-guide-to-user-testing?tab=readme-ov-file,https://github.com/sprblm/designer-developer-collaboration-in-OSS/blob/main/In-conversation-with-designers-and-developers-in-OSS-for-SOS-podcast.md,https://github.com/sprblm/usable-user-testing-can-be-fun,https://github.com/sprblm/usable-user-testing-can-be-fun-poster,https://imakefoss.org/curators/eriolfoxandkelseysmith/,https://miro.com/app/board/uXjVP-15M_k=/,https://miro.com/app/board/uXjVP-xXJ8g=/,https://sosdesign.sustainoss.org/18,https://sprblm.github.io/devs-guide-to/posts/synthesis-for-open-source-at-fosdem22/,https://sprblm.github.io/devs-guide-to/posts/updates/getting-used-to-user-testing-at-the-uxforum/,https://sprblm.github.io/devs-guide-to/posts/updates/synthesis-for-open-source-workshop/,https://sprblm.github.io/devs-guide-to/posts/updates/usable-resources-at-mozfest22/,https://usable.itch.io/user-testing-can-be-fun-a-guide-for-oss-developers-and-tool-teams-on-how-to-user,https://usable.tools/,https://vimeo.com/679486422",Internews | Adoptable (https://www.notion.so/Internews-Adoptable-bd0b972093544f8cacdc3a0ef45e6301?pvs=21),"ADOPTABLE (Adaptable Digital and Organizational Protections by Transforming and Building Long-term Ecosystems)/USABLE resources focus on supporting maintainers of OSS, developer contributors and OSS tool teams to better understand design practices and how that can help them create more user centered tools. 

Includes resources and the engagements planned around these resources that are most relevant to the OSS tool developer community.

Intended Impact: To improve how OSS tool developers communicate user needs and focus by offering resources and engagements with designers working on OSS tools.

Impacts : Sustainability of OSS tools, User centred open source software, designer to developer relations",,"https://www.notion.so/3623745bf1ea4624b0dcb09e6ab1c657, https://www.notion.so/89a8e59cb02e4722aefc60127a11ed1a, https://www.notion.so/c9682957c32d498d9f5ff95aa3b4061c",complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/12e16b0f6b444caaaa71beddca507b80, https://www.notion.so/15e2c9d1335e4efdb26e2bdd78f29496, https://www.notion.so/182f87b10ee6439f8bd19aa20b9aa1ed, https://www.notion.so/25bb3021223c413383cc4ac16d058ea0, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/6f8cb12bf7b948a3a0931515f99694bf, https://www.notion.so/771208b8a1a1431dac6827a91442c575, https://www.notion.so/92f848c334854d41850a091a8129a828, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995, https://www.notion.so/d8220d1090c04a2d81a4fd96f62c31f9","georgia-bullen,eriol-fox,philliph-drummond,molly-wilson,cade-diehm,kelsey-smith",,,Publish,"March 1, 2020 → November 30, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
"YouTube Regrets ",,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,,,,Reset Tech | Mozilla YouTube Regrets (https://www.notion.so/Reset-Tech-Mozilla-YouTube-Regrets-ba758cc227224aa4a7f242096e198f38?pvs=21),"In collaboration with Mozilla’s YouTube Regrets project, Simply Secure mapped and analyzed YouTube’s controls from a usability standpoint to understand if the design supported user experience principles of control, freedom, and transparency.",,,complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/a329309610664af0a7cb5379ea00513c, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9","ame-elliott,kelsey-smith,georgia-bullen",,,Publish,"April 15, 2020 → July 17, 2020",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
"DOTS (Decentralisation, off the shelf)",,,,"https://www.notion.so/129573ad51ff8018ac8ecdff424519a0, https://www.notion.so/3f5b6b0450094712ac8acd7d6a75dcf6",No,"No dates to project page to match to Website info.

”funders” - website List - [ ""samsung"" ] no details on project page.

”tags” - UX design not listed on website page

”body” on the website - key outputs
title: DOTS Website
description: Check out the library for yourself here.
link: https://decentpatterns.xyz/
img: 

Is the above correct?

Project team needs to be updated in the project card.  Is this project paused or done or cancelled or what?
",https://decentpatterns.xyz,DOTS | Decent Patterns XYZ (https://www.notion.so/DOTS-Decent-Patterns-XYZ-05d6a747105e4d66bbb934c36e066782?pvs=21),https://decentpatterns.xyz,"Open Source Collective & Samsung NEXT | DOTS (Decentralisation, Off The Shelf) (https://www.notion.so/Open-Source-Collective-Samsung-NEXT-DOTS-Decentralisation-Off-The-Shelf-86e8f573b67e42d0933391038ad67bdf?pvs=21)","A library of tried-and-tested design patterns, along with a glossary of terms and a research report detailing the needs and gaps we see in the current ecosystem",,https://www.notion.so/9f13f4ea74594fef98d6e47c01a22ca6,paused,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5, https://www.notion.so/917bdfb6b4544e7d8411906e2d4165c6, https://www.notion.so/91abeab8e5dd488e84f58088e7586393","eileen-wagner,karissa-mckelvey,ngọc-triệu",,,Do Not Publish,"January 12, 2019",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,
Coalition Against Online Violence Online Violence Response Hub,https://simplysecure.org/blog/standing-together-to-stop-online-bullying-harassment-of-women-journalists-is-a-community-problem,,,"https://www.notion.so/0b84487999d947debead3c3af3b673b3, https://www.notion.so/7c00a5eabf1f4646928ae8ad1a7fa4cc",No,"Review funders:
I rolled up the funders from the typed list into the funding sources list.  What had been typed in was:

IWMF (Money from Craig Newmark Philanthropies and Emerson Collective I think?)

Check that Emerson Collective should be listed.  Also the funder is listed in the funder list as Craigslist Charitable Fund - review/update that as nec’y as I believe it’s now Craig Newmark Philanthropies but may have been called the former when we did the project?",,CAOV Online Violence Response Hub (https://www.notion.so/CAOV-Online-Violence-Response-Hub-b5f6763ab35344f69b7fb12042c835ed?pvs=21),https://onlineviolenceresponsehub.org/,IWMF Coalition Against Online Violence | Online Violence Response Hub (https://www.notion.so/IWMF-Coalition-Against-Online-Violence-Online-Violence-Response-Hub-ab8ab5b711fb463dabc5c53043cb9dc9?pvs=21),"We supported IWMF to develop a resource hub for women journalists experiencing harassment which included assisting with interview set-up and a workshop.

Safely incorporated input from women journalists who have experienced harassment.

Online Resource Hub is launched (can we find a fancier way to say that?)",,"https://www.notion.so/2fc0d2c21bab418c868e6bc1aaf0b3f9, https://www.notion.so/9b104b910c2b421e9e397645cc1853ba",current,"https://www.notion.so/2db342cbf5a04e859460740535a519d3, https://www.notion.so/309e4ebefce54c21ab0e2bc58e92b196, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/4922fd8c54754db08428420c5ee973df, https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/6f8cb12bf7b948a3a0931515f99694bf, https://www.notion.so/7fc227b2916a4d8fadad6bf230594ea7, https://www.notion.so/9ce32faffa7345b0889fbee7613be3b4, https://www.notion.so/a0ac61a64b554cbda1900d4fa6a574f5, https://www.notion.so/a6bd22f831254270bfbc30e667156446, https://www.notion.so/b504f428bd4f41b0b6dfd7e2e1b244d4, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9, https://www.notion.so/d3904fd507e64ea182f48be271b5f811","ame-elliott,georgia-bullen,nicola-pratt",Standing Together To Stop Online Bullying: Harassment of Women Journalists Is A Community Problem (https://www.notion.so/Standing-Together-To-Stop-Online-Bullying-Harassment-of-Women-Journalists-Is-A-Community-Problem-5050d8d7e05c4bee9a2d3309d157a62c?pvs=21),,Publish,"February 26, 2021 → July 30, 2021",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,Ame Elliott
eQualit.ie — Deflect,https://simplysecure.org/blog/sustaining-values-driven-software-by-attracting-new-users/,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/f2da2afb757e4111bebfd72da485f47a",No,"Marked as a Current project but there’s an end date.

@Katie Wilson is this something that needs to be done before it goes on the website?

This 1-page PDF of purchasing personas could be made into a public output. https://drive.google.com/drive/folders/1kAv1TE2xnHpZ0SUovPE-6JXxggsjjmpa",,"Deflect Personas, Interview Summary, Expert Review, UX Flow Notes, Research (https://www.notion.so/Deflect-Personas-Interview-Summary-Expert-Review-UX-Flow-Notes-Research-9c2a61b13e334cb5a47e115457b99569?pvs=21)",https://drive.google.com/drive/folders/1kAv1TE2xnHpZ0SUovPE-6JXxggsjjmpa,OTF Usability Lab 1 | eQualit.ie Deflect (https://www.notion.so/OTF-Usability-Lab-1-eQualit-ie-Deflect-8bf69c1ffc664dfd99f2fe603c3024ef?pvs=21),"Support eQualitie around design & usability challenges around shifting to offer Deflect for commercial purposes in addition to nonprofit/human rights organizations.

Many open source and public interest tech projects struggle with financial sustainability. eQualitie's Deflect project gets lots of things right and their 10+ year staying power is proof.
Explicitly addressing pricing, value, and the challenges of sustainable business models for values-driven software projects. A streamlined onboarding flow and new pricing experiment launched at the project's end.",,,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/457fdf47f6824f8483f4028e0ba31168, https://www.notion.so/738ff0d5c3824e54a07f3dd0ae42936a, https://www.notion.so/9233cdbc764a42c8904677196229019c","georgia-bullen,ame-elliott,nicola-pratt,karissa-mckelvey,cade-diehm",Sustaining Values-Driven Software by Attracting New Users (Deflect) (https://www.notion.so/Sustaining-Values-Driven-Software-by-Attracting-New-Users-Deflect-75001e1d4ccc4c159391024732e9b76f?pvs=21),,Publish,"April 1, 2021 → November 30, 2021",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21), Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21)",,Ame Elliott
Delta.Chat,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,,,,,OTF Usability Lab 1 | Delta.Chat Workshop Travel (https://www.notion.so/OTF-Usability-Lab-1-Delta-Chat-Workshop-Travel-a163d8a0873841bda6948f286d9653fa?pvs=21),,,,complete,,eileen-wagner,,,Do Not Publish,,,Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21),,
Understanding the Digital Security Trainer Methodology,,,,https://www.notion.so/89a8e59cb02e4722aefc60127a11ed1a,No,,,25x25 Internews Digital Security Trainers Advising (https://www.notion.so/25x25-Internews-Digital-Security-Trainers-Advising-2b5bd69ae27747a1a3c69a916a9972e9?pvs=21),https://drive.google.com/file/d/1AzGUj_FmYNhHW3gh2lEyTS_xIu8wPPMp/view,Internews | 25x25 Understanding the Digital Security Trainer Methodology (https://www.notion.so/Internews-25x25-Understanding-the-Digital-Security-Trainer-Methodology-6f264b4c0c6e4eada8942b73e3fea06a?pvs=21),"Working with Okthanks to develop a methodology for Internews for understanding the needs of digital security trainers.
OR
Developing a participatory research methodology for understanding the needs of digital security trainers.",,"https://www.notion.so/3623745bf1ea4624b0dcb09e6ab1c657, https://www.notion.so/89a8e59cb02e4722aefc60127a11ed1a",complete,"https://www.notion.so/15e2c9d1335e4efdb26e2bdd78f29496, https://www.notion.so/182f87b10ee6439f8bd19aa20b9aa1ed, https://www.notion.so/25bb3021223c413383cc4ac16d058ea0, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/4153818e476448338397cc0efea2e9d4, https://www.notion.so/457fdf47f6824f8483f4028e0ba31168, https://www.notion.so/b504f428bd4f41b0b6dfd7e2e1b244d4, https://www.notion.so/e2470eb3d89a4b0d99abb2b9324370dc","cade-diehm,georgia-bullen",,,Publish,"November 25, 2020 → December 31, 2020",,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
25x25 Internews Trainers Advising,,,,https://www.notion.so/89a8e59cb02e4722aefc60127a11ed1a,No,Merge with the other 25x25 project,,,,Internews | 25x25 Digital Security Trainers Advising (https://www.notion.so/Internews-25x25-Digital-Security-Trainers-Advising-36fa13bfe0444c8b832e312b821e8bfc?pvs=21),We developed the methodology for a global study of digital security trainers.,,,complete,"https://www.notion.so/0ab377ff8fde419c926610bce8510942, https://www.notion.so/182f87b10ee6439f8bd19aa20b9aa1ed, https://www.notion.so/25bb3021223c413383cc4ac16d058ea0, https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/8f2cec34de65409088a1faaa8c0db5d9, https://www.notion.so/9ce32faffa7345b0889fbee7613be3b4, https://www.notion.so/a56db787f36547c484042790d17e1286, https://www.notion.so/e2470eb3d89a4b0d99abb2b9324370dc","cade-diehm,georgia-bullen",,,Publish,"November 18, 2020 → December 31, 2020",,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,Cade D
Sonar,,,,"https://www.notion.so/33ce54c801064eb79c97504153903d26, https://www.notion.so/773d14a39643437c9581473a88fe8fdb",No,Date is based on a date in the signed agreement.  Don’t know duration,,,,NLNet Foundation | Sonar UX Evaluation & Testing (https://www.notion.so/NLNet-Foundation-Sonar-UX-Evaluation-Testing-48f058267d1a42f099404d04d8f283c5?pvs=21),"Sonar is an open source framework to manage, annotate, and full-text search through data, including media files. It uses peer-to-peer technology to replicate and share collections, and can be used to develop decentralized applications. Some use cases the arso team has explored include searchable and replicable media archives, research databases, blogs, archiving and searching chat logs.
The arso team consists of a handful of developers working together as a loose collective. Their work centers around preserving and exploring information and media.
The arso team reached out to Simply Secure for guidance on developing and testing relevant UX patterns. We expected that this might include patterns for key exchange, schema handling, multiwriter conflict resolution, or access management. Our shared goals were to work with actual and potential users on the refinement of UX patterns for P2P search and discovery.",,,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5, https://www.notion.so/91abeab8e5dd488e84f58088e7586393, https://www.notion.so/92f848c334854d41850a091a8129a828","eileen-wagner,kelsey-smith",,,Publish,"June 25, 2020 → March 25, 2021",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
de Campaign(s),,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,Update project card with team names. @Katie Wilson to describe project! [@Nicola Pratt I don’t think we’re identifying with this publicly],,,,Reset Tech | .de Campaign(s) (https://www.notion.so/Reset-Tech-de-Campaign-s-4b99178a9dbd41b8990eff9649fdfd00?pvs=21),,,,complete,,"katie-wilson,ame-elliott",,,Publish,"April 5, 2021",,"Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,Katie Wilson
CHAOSS DEI Audit Committee,,,,"https://www.notion.so/288b3232cff544b39fc376f74508192c, https://www.notion.so/d66f7daa19064f45b8807145bc0e5269",No,Review dates.  Date typed in was jun 14 2021 - dec 31 2021. Is this a current rather than paused project?,,CHAOSS Community (https://www.notion.so/CHAOSS-Community-41da9c077a5f4b3d9532e46483357041?pvs=21),"https://chaoss.community/,https://miro.com/app/board/uXjVNmkztp4=/","University of Omaha, University of Missouri | CHAOSS | Early Engagement in Open Source: Hello World (https://www.notion.so/University-of-Omaha-University-of-Missouri-CHAOSS-Early-Engagement-in-Open-Source-Hello-World-011451ca4021416da3470efe378cb77a?pvs=21)",Advising the CHAOSS team as they do a DEI self reflection and document the process for other open source projects to learn from and emulate.,,,current,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,georgia-bullen,,,Publish,"June 1, 2021 → December 13, 2024",,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,Georgia Bullen
Jigsaw Data Deletion User Research,,,,https://www.notion.so/0eeb7612a08246db94e166f487553696,No,,,,,Jigsaw | Data Deletion User Research (https://www.notion.so/Jigsaw-Data-Deletion-User-Research-b6c659433d07493ba40c4cf18ecc8cdb?pvs=21),,,,cancelled / OBE,,georgia-bullen,,,Do Not Publish,,,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
Web Monetization (GFTW),,,,"https://www.notion.so/57f72b477c214f1fb8235f14ed25b75d, https://www.notion.so/68232c3a576e469c86e2a67f5c27d6ae",No,,,"Web Monetization: What, Money in My Browser? Zine (https://www.notion.so/Web-Monetization-What-Money-in-My-Browser-Zine-1771e5062f364080b8a36f4597c7700a?pvs=21)",https://decentpatterns.xyz/zines/web-monetization/,Coil Technologies Inc | Grant for The Web DOTS Web Monetization (https://www.notion.so/Coil-Technologies-Inc-Grant-for-The-Web-DOTS-Web-Monetization-b40555a3434e43e19e29cade8a811903?pvs=21),Grant for the Web to work on patterns related to web monetization.,,,complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/91abeab8e5dd488e84f58088e7586393","karissa-mckelvey,eileen-wagner,ngọc-triệu",,,Publish,"October 1, 2020 → March 31, 2021",,"Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,
Project Mayday,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,"@Nicola Pratt I don’t think we’re identifying with this publicly

DELETE",https://www.mayday.community,,,Reset Tech | Project Mayday (https://www.notion.so/Reset-Tech-Project-Mayday-29d0c4d0ed7b410e912e02d9cf6f850b?pvs=21),Project Mayday is a campaign designed to discourage people from engaging with content published by known purveyors of disinformation.,,,paused,,"georgia-bullen,katie-wilson,philliph-drummond,eriol-fox,ame-elliott,cade-diehm",,,Do Not Publish,"September 1, 2021 → October 1, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21)",,Katie Wilson
Meet.coop,,,,https://www.notion.so/3329d239c52d4846bb922334fa3ca0b2,No,,,,,Meet.coop | Community Building (https://www.notion.so/Meet-coop-Community-Building-ac11e67a3dab48e290a2c098d9a0234f?pvs=21),Cooperative governance support and faciliation for the Meet.coop platform and some of its community activities,,,complete,"https://www.notion.so/12e16b0f6b444caaaa71beddca507b80, https://www.notion.so/4af0e4707b9c4ab0aca8236454890862, https://www.notion.so/738ff0d5c3824e54a07f3dd0ae42936a, https://www.notion.so/9233cdbc764a42c8904677196229019c, https://www.notion.so/a329309610664af0a7cb5379ea00513c, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995","georgia-bullen,cade-diehm,eileen-wagner",,,Publish,"October 1, 2020 → December 31, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21)",,
Mozilla Rally,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,rally.mozilla.org,Mozilla | Rally Website (https://www.notion.so/Mozilla-Rally-Website-ea11125e87104d89a3b95cd545629194?pvs=21),rally.mozilla.org,Reset Tech | Mozilla Rally (previously Pioneer & Ion)  (https://www.notion.so/Reset-Tech-Mozilla-Rally-previously-Pioneer-Ion-bd6767e2bc22471396bf33b1a8ab1af3?pvs=21),"We helped test and validate Rally’s approach to and assumptions about its platform, provided research support into around its RFP process, and continue to be thought-partners with the Rally team. ",,,paused,"https://www.notion.so/182f87b10ee6439f8bd19aa20b9aa1ed, https://www.notion.so/48a91288f21d45eab8e0bde0157ca9fb, https://www.notion.so/5b7b9a2531d545b3aece59ab36e5ad64, https://www.notion.so/a329309610664af0a7cb5379ea00513c, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995","ame-elliott,georgia-bullen,katie-wilson,kelsey-smith,cade-diehm",,,Do Not Publish,"May 1, 2020 → December 31, 2022",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21)",,Ame Elliott
Spot Fake News (Reset.Tech),,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,Marked as a Current project but there’s a past end date — @Nicola Pratt I don’t think we’re identifying with this publicly,,Mayday Community Website (https://www.notion.so/Mayday-Community-Website-5cd6afa3a9ff41628ce58000694e8d53?pvs=21),https://www.mayday.community,Reset Tech | Mayday: Echt Wahr (was Spot Fake News) (https://www.notion.so/Reset-Tech-Mayday-Echt-Wahr-was-Spot-Fake-News-fbe55e8f9282440d818c9ce1ac95d366?pvs=21),,,,paused,,"georgia-bullen,katie-wilson,philliph-drummond,eileen-wagner,ame-elliott,eriol-fox",,,Do Not Publish,"April 1, 2021 → March 31, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,Ame Elliott
Mozilla Foundation Voice Interfaces,,,,https://www.notion.so/a325e032e0cd4af8932322935cf907ee,No,,,,,Mozilla Foundation | Voice Interfaces (https://www.notion.so/Mozilla-Foundation-Voice-Interfaces-d81012aeb1a344ae9eea4eda9fa8aef5?pvs=21),Prototyping new voice interfaces for privacy.,,,cancelled / OBE,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5",,,,Do Not Publish,,,,,
